rd1.38;*1;0021.d875.2980;10;0;Ready
rd1.38; 2;0022.0c90.8c80;1;0;Ready
switch-new.1pp;*1;b000.b42e.fd80;1;0;Ready
switch-new.1pp; 2;0000.0000.0000;0;0;Provisioned
switch-new.3np; 1;b000.b42f.1900;1;0;Ready
switch-new.3np;*2;544a.006a.a500;1;0;Ready
switch-new.4np;*1;544a.0051.e380;1;0;Ready
switch-new.5np;*1;544a.0051.c000;1;0;Ready
switch0.16; 1;0000.0000.0000;0;0;Provisioned
switch0.16;*2;0022.0c71.4c00;1;0;Ready
switch0.22;*1;0022.0c08.1a00;10;0;Ready
switch0.22; 2;0022.0c08.1780;1;0;Ready
switch1.03;*1;0021.d8a2.e380;10;0;Ready
switch1.03; 2;0022.0c4b.e980;1;0;Ready
switch1.38;*1;0021.d875.2980;10;0;Ready
switch1.38; 2;0022.0c90.8c80;1;0;Ready
switch1.47;*1;0022.0c08.4480;10;0;Ready
switch1.47; 2;0022.0c90.9e00;1;0;Ready
switch2.22;*1;0021.d83c.7500;10;0;Ready
switch2.22; 2;0022.0c90.9500;1;0;Ready
switch2.28;*1;0021.d8a2.e300;15;0;Ready
switch2.28; 2;0021.d8a2.c680;5;0;Ready
switch2.30;*1;0021.d8a2.e480;10;0;Ready
switch3.03;*1;0022.0c90.9580;10;0;Ready
switch3.03; 2;0022.0c90.9b00;1;0;Ready
switch3.18;*1;0022.0c08.1080;10;0;Ready
switch3.18; 2;001a.e368.2a80;1;0;Ready
switch3.29;*1;0022.0c90.c180;10;0;Ready
switch3.29; 2;0022.0c90.9780;1;0;Ready
switch3.37;*1;0022.0c07.fe80;10;0;Ready
switch3.37; 2;0022.0c4a.8a80;1;0;Ready
