rd1.38;Fa1/0/1;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/2;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/3;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/4;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/5;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/6;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/7;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/8;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/9;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/10;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/11;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/12;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/13;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/14;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/15;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/16;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/17;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/18;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/19;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/20;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/21;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/22;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/23;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/24;auto;off;0.0;n/a;n/a;15.4
rd1.38;Fa1/0/25;auto;on;15.4;Ieee PD;4;15.4
rd1.38;Fa1/0/26;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/27;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/28;auto;on;15.4;Ieee PD;0;15.4
rd1.38;Fa1/0/29;auto;on;15.4;Ieee PD;4;15.4
rd1.38;Fa1/0/30;auto;off;0.0;n/a;n/a;15.4
