rd1.38;Gi1/0/3;Enabled;trunk;trunk (member of bundle Po1);dot1q;dot1q;1 (default);1 (default);none ;2-100,102,104,621,728,1429,1430
rd1.38;Gi1/0/4;Enabled;trunk;trunk (member of bundle Po1);dot1q;dot1q;1 (default);1 (default);none ;2-100,102,104,621,728,1429,1430
rd1.38;Fa2/0/1;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
rd1.38;Fa2/0/2;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/3;Enabled;static access;static access;negotiate;native;104 (BENU114_VPN);1 (default);none ;ALL
rd1.38;Fa2/0/4;Enabled;private-vlan host;private-vlan host;negotiate;native;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
rd1.38;Fa2/0/5;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/6;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
rd1.38;Fa2/0/7;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
rd1.38;Fa2/0/8;Enabled;private-vlan host;private-vlan host;negotiate;native;1 (default);1 (default);13 (Najomcovia-primarna) 11 (Najomca-FastPlus) ;ALL
rd1.38;Fa2/0/9;Enabled;private-vlan host;private-vlan host;negotiate;native;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
rd1.38;Fa2/0/10;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
rd1.38;Fa2/0/11;Enabled;tunnel;tunnel;negotiate;native;102 (TELEKOM-OC_MLYNY-HUMANIC);1 (default);none ;ALL
rd1.38;Fa2/0/12;Enabled;tunnel;tunnel;negotiate;native;621 (LAST_MILE_PULLnBEAR);1 (default);none ;ALL
rd1.38;Fa2/0/13;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/14;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/15;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/16;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/17;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/18;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/19;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/20;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
rd1.38;Fa2/0/21;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/22;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/23;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/24;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/25;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/26;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/27;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/28;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/29;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/30;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/31;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
rd1.38;Fa2/0/32;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
rd1.38;Fa2/0/33;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/34;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/35;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/36;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/37;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/38;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/39;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/40;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/41;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/42;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/43;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/44;Enabled;static access;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Fa2/0/45;Enabled;static access;down;negotiate;;42 (Reklama);1 (default);none ;ALL
rd1.38;Fa2/0/46;Enabled;static access;down;negotiate;;42 (Reklama);1 (default);none ;ALL
rd1.38;Fa2/0/47;Enabled;static access;down;negotiate;;42 (Reklama);1 (default);none ;ALL
rd1.38;Fa2/0/48;Enabled;static access;down;negotiate;;42 (Reklama);1 (default);none ;ALL
rd1.38;Gi2/0/1;Enabled;trunk;trunk;dot1q;dot1q;1 (default);1 (default);none ;728,1429,1430
rd1.38;Gi2/0/2;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
rd1.38;Gi2/0/3;Enabled;trunk;trunk (member of bundle Po2);dot1q;dot1q;1 (default);1 (default);none ;2-100,102,104,621,728,1429,1430
rd1.38;Gi2/0/4;Enabled;trunk;trunk (member of bundle Po2);dot1q;dot1q;1 (default);1 (default);none ;2-100,102,104,621,728,1429,1430
rd1.38;;Enabled;trunk;trunk;dot1q;dot1q;1 (default);1 (default);none ;2-100,102,104,621,728,1429,1430
switch-new.1pp;Fa1/0/1;Enabled;static access;static access;negotiate;native;44 (siemenens_reg);1 (default);none ;ALL
switch-new.1pp;Fa1/0/2;Enabled;static access;down;negotiate;;44 (siemenens_reg);1 (default);none ;ALL
switch-new.1pp;Fa1/0/3;Enabled;static access;static access;negotiate;native;44 (siemenens_reg);1 (default);none ;ALL
switch-new.1pp;Fa1/0/4;Enabled;static access;static access;negotiate;native;44 (siemenens_reg);1 (default);none ;ALL
switch-new.1pp;Fa1/0/5;Enabled;private-vlan host;private-vlan host;negotiate;native;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
switch-new.1pp;Fa1/0/6;Enabled;tunnel;tunnel;negotiate;native;2826 (02585513-TELEKOM-SLSP);1 (default);none ;ALL
switch-new.1pp;Fa1/0/7;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.1pp;Fa1/0/8;Enabled;static access;static access;negotiate;native;16 (DohladKamery);1 (default);none ;ALL
switch-new.1pp;Fa1/0/9;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.1pp;Fa1/0/10;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
switch-new.1pp;Fa1/0/11;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
switch-new.1pp;Fa1/0/12;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
switch-new.1pp;Fa1/0/13;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.1pp;Fa1/0/14;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.1pp;Fa1/0/15;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.1pp;Fa1/0/16;Enabled;static access;static access;negotiate;native;41 (SALTO-SKV);1 (default);none ;ALL
switch-new.1pp;Fa1/0/17;Enabled;static access;static access;negotiate;native;41 (SALTO-SKV);1 (default);none ;ALL
switch-new.1pp;Fa1/0/18;Enabled;static access;static access;negotiate;native;41 (SALTO-SKV);1 (default);none ;ALL
switch-new.1pp;Fa1/0/19;Enabled;static access;static access;negotiate;native;41 (SALTO-SKV);1 (default);none ;ALL
switch-new.1pp;Fa1/0/20;Enabled;static access;static access;negotiate;native;41 (SALTO-SKV);1 (default);none ;ALL
switch-new.1pp;Fa1/0/21;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.1pp;Fa1/0/22;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.1pp;Fa1/0/23;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.1pp;Fa1/0/24;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.1pp;Gi1/0/1;Enabled;trunk;trunk (member of bundle Po1);dot1q;dot1q;1 (default);1 (default);none ;2-100,2826
switch-new.1pp;Gi1/0/2;Enabled;trunk;trunk (member of bundle Po2);dot1q;dot1q;1 (default);1 (default);none ;2-100,2826
switch-new.1pp;Gi2/0/4;Enabled;trunk;trunk;dot1q;dot1q;1 (default);1 (default);none ;2-100,2826
switch-new.1pp;;Enabled;trunk;trunk;dot1q;dot1q;1 (default);1 (default);none ;2-100,2826
switch-new.3np;Fa1/0/1;Enabled;static access;static access;negotiate;native;44 (siemens_reg);1 (default);none ;ALL
switch-new.3np;Fa1/0/2;Enabled;static access;down;negotiate;;44 (siemens_reg);1 (default);none ;ALL
switch-new.3np;Fa1/0/3;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
switch-new.3np;Fa1/0/4;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
switch-new.3np;Fa1/0/5;Enabled;private-vlan host;down;negotiate;;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
switch-new.3np;Fa1/0/6;Enabled;private-vlan host;private-vlan host;negotiate;native;1 (default);1 (default);13 (Najomcovia-primarna) 12 (Najomcovia) ;ALL
switch-new.3np;Fa1/0/7;Enabled;static access;down;negotiate;;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/8;Enabled;static access;down;negotiate;;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/9;Enabled;static access;down;negotiate;;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/10;Enabled;static access;down;negotiate;;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/11;Enabled;static access;down;negotiate;;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/12;Enabled;static access;down;negotiate;;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/13;Enabled;static access;static access;negotiate;native;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/14;Enabled;static access;static access;negotiate;native;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/15;Enabled;static access;static access;negotiate;native;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/16;Enabled;static access;static access;negotiate;native;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/17;Enabled;static access;static access;negotiate;native;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/18;Enabled;static access;static access;negotiate;native;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/19;Enabled;static access;static access;negotiate;native;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/20;Enabled;static access;static access;negotiate;native;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/21;Enabled;static access;static access;negotiate;native;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/22;Enabled;static access;static access;negotiate;native;46 (pokladne);1 (default);none ;ALL
switch-new.3np;Fa1/0/23;Enabled;static access;down;negotiate;;47 (manazment_mlyny_l2);1 (default);none ;ALL
switch-new.3np;Fa1/0/24;Enabled;static access;static access;negotiate;native;81 (APmgmt);1 (default);none ;ALL
switch-new.3np;Gi1/0/1;Enabled;trunk;trunk (member of bundle Po1);dot1q;dot1q;1 (default);1 (default);none ;2-100
switch-new.3np;Gi1/0/2;Enabled;trunk;trunk (member of bundle Po3);dot1q;dot1q;1 (default);1 (default);none ;ALL
switch-new.3np;Fa2/0/1;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.3np;Fa2/0/2;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
switch-new.3np;Fa2/0/3;Enabled;dynamic auto;down;negotiate;;1 (default);1 (default);none ;ALL
